school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Alamance-Burlington Middle College","Alamance-Burlington Schools","A - 86","NA","42.9","51"
"Alexander Wilson Elementary","Alamance-Burlington Schools","C - 69","Exceeded","63.2","46"
"Altamahaw Ossipee Elem","Alamance-Burlington Schools","C - 69","Met","68.4","44"
"Broadview Middle","Alamance-Burlington Schools","D - 45","Exceeded","33.6","92"
"Career Technical Education Center","Alamance-Burlington Schools","I - NA","NA","NA","NA"
"Highland Elementary","Alamance-Burlington Schools","B - 74","Exceeded","70.8","35"
"E M Yoder Elementary","Alamance-Burlington Schools","B - 73","Exceeded","68.1","41"
"Eastern Alamance High","Alamance-Burlington Schools","C - 66","Met","53.8","37"
"Eastlawn Elementary","Alamance-Burlington Schools","F - 31","NotMet","21.5","99"
"Edwin M Holt Elementary","Alamance-Burlington Schools","C - 62","NotMet","60.2","36"
"Elon Elementary","Alamance-Burlington Schools","C - 60","Met","54.8","35"
"B Everett Jordan Elem","Alamance-Burlington Schools","C - 58","Met","54.0","57"
"Garrett Elementary","Alamance-Burlington Schools","C - 63","Met","60.6","56"
"Graham High","Alamance-Burlington Schools","D - 50","NotMet","31.1","70"
"Graham Middle","Alamance-Burlington Schools","D - 43","Met","33.4","81"
"Grove Park Elementary","Alamance-Burlington Schools","D - 45","Exceeded","34.8","81"
"Hawfields Middle","Alamance-Burlington Schools","C - 61","Exceeded","54.1","52"
"Harvey R Newlin Elementary","Alamance-Burlington Schools","D - 40","Met","28.8","91"
"Haw River Elementary","Alamance-Burlington Schools","D - 42","Met","32.3","94"
"Hillcrest Elementary","Alamance-Burlington Schools","D - 50","Met","41.7","85"
"Hugh M Cummings High","Alamance-Burlington Schools","C - 60","Exceeded","40.7","80"
"Marvin B Smith Elementary","Alamance-Burlington Schools","B - 75","Met","72.7","43"
"North Graham Elementary","Alamance-Burlington Schools","D - 53","Met","46.4","90"
"Pleasant Grove Elementary","Alamance-Burlington Schools","C - 60","Exceeded","53.5","84"
"R Homer Andrews Elementary","Alamance-Burlington Schools","D - 42","NotMet","37.4","95"
"Ray Street Academy","Alamance-Burlington Schools","NA - NA","NA","10.4","90"
"South Graham Elementary","Alamance-Burlington Schools","D - 45","Met","36.2","82"
"South Mebane Elementary","Alamance-Burlington Schools","B - 72","Exceeded","67.0","43"
"Southern High","Alamance-Burlington Schools","C - 64","NotMet","51.5","37"
"Southern Middle","Alamance-Burlington Schools","C - 60","Met","54.6","40"
"Sylvan Elementary","Alamance-Burlington Schools","C - 58","Met","53.6","61"
"Turrentine Middle","Alamance-Burlington Schools","C - 57","Exceeded","49.7","66"
"Walter M Williams High","Alamance-Burlington Schools","C - 69","Exceeded","51.1","53"
"Western Alamance High","Alamance-Burlington Schools","C - 63","NotMet","51.1","26"
"Western Middle","Alamance-Burlington Schools","C - 66","Met","61.2","33"
"Woodlawn Middle","Alamance-Burlington Schools","B - 70","Exceeded","65.1","45"
"Alexander Central High","Alexander County Schools","B - 76","Exceeded","61.4","46"
"Bethlehem Elementary","Alexander County Schools","C - 66","Met","64.8","40"
"East Alexander Middle","Alexander County Schools","C - 60","Met","54.3","64"
"Ellendale Elementary","Alexander County Schools","C - 67","NotMet","67.1","57"
"Hiddenite Elementary","Alexander County Schools","C - 62","Met","58.3","69"
"Stony Point Elementary","Alexander County Schools","C - 63","Met","59.9","66"
"Sugar Loaf Elementary","Alexander County Schools","B - 74","Met","71.6","52"
"Taylorsville Elementary","Alexander County Schools","C - 57","NotMet","56.8","78"
"West Alexander Middle","Alexander County Schools","C - 65","Exceeded","58.7","44"
"Wittenburg Elementary","Alexander County Schools","C - 63","Met","60.0","59"
"Alleghany High","Alleghany County Schools","B - 71","Met","59.2","34"
"Glade Creek Elementary","Alleghany County Schools","B - 70","Met","66.4","77"
"Piney Creek Elementary","Alleghany County Schools","B - 80","Met","79.3","48"
"Sparta Elementary","Alleghany County Schools","C - 64","Exceeded","58.6","83"
"Anson Co. Early College High","Anson County Schools","B - 70","Met","56.4","62"
"Anson Academy","Anson County Schools","NA - NA","NA","<5","75"
"Anson High School","Anson County Schools","D - 50","NotMet","18.5","75"
"Ansonville Elementary","Anson County Schools","B - 70","Exceeded","65.2","66"
"Anson Middle","Anson County Schools","D - 42","NotMet","37.2","80"
"Wadesboro Primary","Anson County Schools","F - 35","NotMet","27.7","82"
"Lilesville Elementary","Anson County Schools","D - 43","Met","34.4","77"
"Morven Elementary","Anson County Schools","D - 45","Met","35.1","93"
"Peachland-Polkton Elem","Anson County Schools","C - 59","Met","55.2","65"
"Wadesboro Elementary","Anson County Schools","F - 36","Met","26.3","92"
"Anson New Tech High","Anson County Schools","D - 46","NotMet","21.4","72"
"Ashe County High","Ashe County Schools","C - 68","NotMet","58.8","56"
"Ashe County Middle","Ashe County Schools","C - 66","Met","63.7","80"
"Blue Ridge Elementary","Ashe County Schools","C - 65","Exceeded","58.3","71"
"Mountain View Elementary","Ashe County Schools","B - 72","Exceeded","67.1","68"
"Westwood Elementary","Ashe County Schools","B - 72","Met","69.1","60"
"Asheboro High","Asheboro City Schools","C - 65","Exceeded","45.4","64"
"South Asheboro Middle","Asheboro City Schools","C - 64","Exceeded","55.4","64"
"Balfour Elementary","Asheboro City Schools","C - 56","Exceeded","47.7","92"
"Charles W McCrary Elementary","Asheboro City Schools","C - 58","Exceeded","49.4","91"
"Donna L Loflin Elementary","Asheboro City Schools","C - 55","Met","48.5","83"
