"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"Alamance-Burlington Middle College","Alamance-Burlington Schools","A - 86","A","86","NA","42.9","51","36.06546700","-79.35885600"
"Alexander Wilson Elementary","Alamance-Burlington Schools","C - 69","C","69","Exceeded","63.2","46","36.03020859","-79.34599304"
"Altamahaw Ossipee Elem","Alamance-Burlington Schools","C - 69","C","69","Met","68.4","44","36.17947769","-79.51058197"
"Broadview Middle","Alamance-Burlington Schools","D - 45","D","45","Exceeded","33.6","92","36.08834110","-79.39788625"
"Career Technical Education Center","Alamance-Burlington Schools","I - NA","I","","NA","NA","NA","36.09312616","-79.38525505"
"Highland Elementary","Alamance-Burlington Schools","B - 74","B","74","Exceeded","70.8","35","36.05866600","-79.51782200"
"Highland Elementary","Harnett County Schools","C - 65","C","65","Met","61.4","44","36.05866600","-79.51782200"
"E M Yoder Elementary","Alamance-Burlington Schools","B - 73","B","73","Exceeded","68.1","41","36.10058594","-79.27547455"
"Eastern Alamance High","Alamance-Burlington Schools","C - 66","C","66","Met","53.8","37","36.11481857","-79.30274963"
"Eastlawn Elementary","Alamance-Burlington Schools","F - 31","F","31","NotMet","21.5","99","36.10227203","-79.40727234"
"Edwin M Holt Elementary","Alamance-Burlington Schools","C - 62","C","62","NotMet","60.2","36","36.02154160","-79.48852539"
"Elon Elementary","Alamance-Burlington Schools","C - 60","C","60","Met","54.8","35","36.10462570","-79.49929047"
"B Everett Jordan Elem","Alamance-Burlington Schools","C - 58","C","58","Met","54.0","57","35.94042969","-79.32706451"
"Garrett Elementary","Alamance-Burlington Schools","C - 63","C","63","Met","60.6","56","36.05860211","-79.29547682"
"Graham High","Alamance-Burlington Schools","D - 50","D","50","NotMet","31.1","70","36.07537000","-79.38137000"
"Graham Middle","Alamance-Burlington Schools","D - 43","D","43","Met","33.4","81","36.06584930","-79.39473724"
"Grove Park Elementary","Alamance-Burlington Schools","D - 45","D","45","Exceeded","34.8","81","36.08028700","-79.46028100"
"Hawfields Middle","Alamance-Burlington Schools","C - 61","C","61","Exceeded","54.1","52","36.06113434","-79.29648590"
"Harvey R Newlin Elementary","Alamance-Burlington Schools","D - 40","D","40","Met","28.8","91","36.07310486","-79.42060852"
"Haw River Elementary","Alamance-Burlington Schools","D - 42","D","42","Met","32.3","94","35.53934479","-79.18541718"
"Hillcrest Elementary","Alamance-Burlington Schools","D - 50","D","50","Met","41.7","85","36.10313797","-79.46486664"
"Hugh M Cummings High","Alamance-Burlington Schools","C - 60","C","60","Exceeded","40.7","80","36.08970642","-79.39584351"
"Marvin B Smith Elementary","Alamance-Burlington Schools","B - 75","B","75","Met","72.7","43","36.07720900","-79.47904900"
