lea_name	school_code	school_name	level	sbe_region	grade_span	title_i_school	fp_receiver	grad_project	evaas_status	fed_targ_den	fed_targ_pct	state_targ_den	state_targ_pct	act_den	act_pct	wk_den	wk_pct	mcr_den	mcr_pct	cgrs_den	cgrs_pct	cgre_den	cgre_pct	pc_den	pc_pct	m1_den	m1_pct	bi_den	bi_pct	e2_den	e2_pct	ma03_den	ma03_pct	ma04_den	ma04_pct	ma05_den	ma05_pct	ma06_den	ma06_pct	ma07_den	ma07_pct	ma08_den	ma08_pct	rd03_den	rd03_pct	rd04_den	rd04_pct	rd05_den	rd05_pct	rd06_den	rd06_pct	rd07_den	rd07_pct	rd08_den	rd08_pct	sc05_den	sc05_pct	sc08_den	sc08_pct
State of North Carolina	NC-SEA	State of North Carolina	SEA							91	95.6	210	89.5	92503	58.5	31989	67.3	88021	>95	109795	82.5	110886	83.1	1980208	44.7	155604	42.6	109897	45.5	111030	51.1	107427	46.8	115753	47.6	115760	47.7	117644	38.9	116477	38.5	113987	34.2	107424	45.2	115737	43.7	115760	39.5	117649	46.4	116489	47.8	113995	41.0	115747	45.4	113828	59.1
Alamance-Burlington Schools	010LEA	Alamance-Burlington Schools	LEA	5						82	62.2	178	65.2	1400	52.8	456	65.1	1320	95.0	1718	78.1	1818	78.6	30327	39.9	2425	41.1	1815	42.7	1690	47.0	1579	43.6	1708	42.7	1756	46.9	1773	35.4	1815	31.9	1793	29.9	1579	41.9	1709	38.3	1755	34.3	1772	41.0	1816	39.4	1792	33.6	1756	39.1	1794	49.9
Alamance-Burlington Schools	010303	Alamance-Burlington Middle College	SCH	5	09-12			Y		1	100.0	3	66.7	25	40.0	13	53.8	33	>95	33	>95	43	88.4	11	36.4			11	36.4																														
Alamance-Burlington Schools	010304	Alexander Wilson Elementary	SCH	5	PK-05				Exceeds	17	100.0	27	100.0											632	49.7							75	48.0	94	56.4	98	50.0							75	44.0	94	56.4	98	39.8							98	52.0		
Alamance-Burlington Schools	010308	Altamahaw Ossipee Elem	SCH	5	0K-05				Met	17	100.0	27	88.9											682	51.0							89	66.3	96	53.1	104	46.2							89	68.5	96	44.8	104	41.3							104	41.3		
Alamance-Burlington Schools	010310	Broadview Middle	SCH	5	06-08	Y			Met	29	69.0	47	76.6											1741	26.4	38	89.5											262	19.8	254	18.5	224	26.8							261	28.7	254	24.8	224	21.9			224	35.7
Alamance-Burlington Schools	010311	Career Technical Education Center	SCH	5	09-12			N																																																			
Alamance-Burlington Schools	010312	Highland Elementary	SCH	5	0K-05				Met	21	100.0	32	100.0											749	56.5							106	59.4	105	59.0	109	53.2							106	63.2	105	59.0	109	45.0							109	56.9		
Alamance-Burlington Schools	010320	E M Yoder Elementary	SCH	5	PK-05				Exceeds	13	100.0	21	95.2											434	50.5							53	41.5	62	48.4	68	60.3							53	52.8	62	56.5	68	50.0							68	42.6		
Alamance-Burlington Schools	010324	Eastern Alamance High	SCH	5	09-12			Y	Exceeds	26	76.9	71	81.7	245	57.6	40	75.0	221	94.6	263	83.7	295	83.7	1006	53.3	333	46.5	359	63.0	314	49.4																												
Alamance-Burlington Schools	010326	Eastlawn Elementary	SCH	5	PK-05	Y			Exceeds	21	61.9	27	59.3											519	15.8							77	9.1	70	17.1	75	34.7							77	10.4	70	11.4	75	16.0							75	12.0		
Alamance-Burlington Schools	010328	Edwin M Holt Elementary	SCH	5	0K-05				NotMet	17	94.1	27	85.2											749	47.7							110	64.5	98	41.8	111	50.5							110	55.5	98	45.9	111	36.0							111	38.7		
Alamance-Burlington Schools	010340	Elon Elementary	SCH	5	PK-05				Exceeds	17	100.0	29	100.0											779	53.0							126	36.5	106	59.4	105	64.8							126	40.5	106	61.3	105	47.6							105	66.7		
Alamance-Burlington Schools	010346	B Everett Jordan Elem	SCH	5	0K-05	Y			Exceeds	21	90.5	27	85.2											511	41.1							75	40.0	65	50.8	77	54.5							75	42.7	65	32.3	77	29.9							77	37.7		
Alamance-Burlington Schools	010347	Garrett Elementary	SCH	5	0K-05				Exceeds	25	88.0	35	91.4											835	48.3							98	43.9	132	53.0	125	62.4							98	44.9	132	39.4	125	40.0							125	52.8		
Alamance-Burlington Schools	010348	Graham High	SCH	5	09-12			Y	Met	29	58.6	65	67.7	147	42.9	38	52.6	140	>95	187	75.9	209	73.2	735	26.5	272	16.9	240	29.2	223	35.4																												
Alamance-Burlington Schools	010350	Graham Middle	SCH	5	06-08	Y			Met	31	64.5	51	74.5											1659	27.2	64	71.9											240	18.8	218	19.3	226	23.5							240	26.7	219	29.2	226	24.3			226	36.3
Alamance-Burlington Schools	010351	Grove Park Elementary	SCH	5	PK-05	Y			Met	21	81.0	27	77.8											612	27.6							79	22.8	92	32.6	90	32.2							79	30.4	92	32.6	90	21.1							90	21.1		
Alamance-Burlington Schools	010353	Hawfields Middle	SCH	5	06-08				NotMet	29	79.3	49	83.7											1698	39.8	64	79.7											223	35.4	240	35.8	236	25.8							223	44.8	240	42.5	236	35.2			236	47.9
Alamance-Burlington Schools	010354	Harvey R Newlin Elementary	SCH	5	PK-05	Y			Met	25	72.0	33	66.7											694	17.7							89	15.7	105	16.2	102	28.4							89	16.9	105	12.4	102	18.6							102	15.7		
Alamance-Burlington Schools	010357	Haw River Elementary	SCH	5	PK-05	Y			Met	27	74.1	33	69.7											520	22.1							68	35.3	69	24.6	82	20.7							68	27.9	69	20.3	82	15.9							82	13.4		
Alamance-Burlington Schools	010358	Hillcrest Elementary	SCH	5	PK-05	Y			Met	21	95.2	28	92.9											546	36.6							61	41.0	90	31.1	81	44.4							61	41.0	91	33.0	81	35.8							81	33.3		
Alamance-Burlington Schools	010360	Hugh M Cummings High	SCH	5	09-12			Y	Met	20	80.0	53	64.2	154	22.7	63	71.4	129	93.8	201	69.2	219	70.3	706	21.8	253	14.6	236	19.9	217	32.3																												
Alamance-Burlington Schools	010362	Marvin B Smith Elementary	SCH	5	PK-05				Met	21	100.0	31	100.0											575	60.0							88	64.8	69	65.2	87	60.9							88	59.1	69	55.1	87	51.7							87	63.2		
Alamance-Burlington Schools	010364	North Graham Elementary	SCH	5	PK-05	Y			Exceeds	21	81.0	25	80.0											375	30.1							51	45.1	66	30.3	47	36.2							51	37.3	66	15.2	47	17.0							47	34.0		
Alamance-Burlington Schools	010372	Pleasant Grove Elementary	SCH	5	PK-05	Y			Met	17	82.4	21	85.7											271	35.1							26	42.3	45	26.7	43	41.9							26	42.3	45	28.9	43	23.3							43	46.5		
Alamance-Burlington Schools	010374	R Homer Andrews Elementary	SCH	5	PK-05	Y			Exceeds	21	76.2	28	71.4											679	26.4							81	29.6	106	33.0	102	40.2							81	19.8	106	15.1	101	20.8							102	25.5		
Alamance-Burlington Schools	010378	Ray Street Academy	SCH	5	0K-12			Y	NotMet	4	100.0	6	66.7											145	<5	17	<5	19	5.3	11	9.1							6	<5	11	<5	18	<5							6	<5	11	<5	18	<5			18	5.6
Alamance-Burlington Schools	010380	South Graham Elementary	SCH	5	PK-05	Y			Met	29	75.9	41	70.7											666	27.3							82	28.0	98	27.6	102	31.4							82	19.5	98	33.7	102	25.5							102	24.5		
Alamance-Burlington Schools	010384	South Mebane Elementary	SCH	5	PK-05				Met	21	100.0	31	100.0											634	58.0							86	72.1	90	54.4	94	63.8							86	58.1	90	50.0	94	58.5							94	50.0		
Alamance-Burlington Schools	010388	Southern High	SCH	5	09-12			Y	Exceeds	21	81.0	68	72.1	309	52.1	135	53.3	294	92.5	372	79.3	371	77.9	1097	41.0	416	30.0	344	46.5	337	49.0																												
Alamance-Burlington Schools	010390	Southern Middle	SCH	5	06-08				Met	25	84.0	40	90.0											2034	44.5	104	80.8											269	35.7	289	42.9	271	32.8							269	42.4	289	45.3	271	37.3			272	61.4
Alamance-Burlington Schools	010392	Sylvan Elementary	SCH	5	PK-05	Y			Exceeds	13	100.0	19	94.7											370	50.3							56	55.4	48	70.8	54	46.3							56	51.8	48	58.3	54	31.5							54	40.7		
Alamance-Burlington Schools	010394	Turrentine Middle	SCH	5	06-08	Y			NotMet	33	81.8	54	87.0											2258	39.1	92	77.2											303	43.2	302	29.8	319	25.1							303	43.9	302	37.4	318	33.6			319	49.5
