SchoolName;SchoolSystem;SchoolGrade;SchoolGradeLetter;SchoolGradeNumber;GrowtStatus;GradeLevel;FreeReduced;Latitude;Longitude;Geopoint
Alexander Wilson Elementary;Alamance-Burlington Schools;C - 69;C;69;Exceeded;63.2;46;36.03020859;-79.34599304;36.03020859, -79.34599304
Career Technical Education Center;Alamance-Burlington Schools;I - NA;I;;NA;;;36.09312616;-79.38525505;36.09312616, -79.38525505
Highland Elementary;Alamance-Burlington Schools;B - 74;B;74;Exceeded;70.8;35;36.058666;-79.517822;36.058666, -79.517822
Edwin M Holt Elementary;Alamance-Burlington Schools;C - 62;C;62;NotMet;60.2;36;36.0215416;-79.48852539;36.0215416, -79.48852539
Harvey R Newlin Elementary;Alamance-Burlington Schools;D - 40;D;40;Met;28.8;91;36.07310486;-79.42060852;36.07310486, -79.42060852
Hillcrest Elementary;Alamance-Burlington Schools;D - 50;D;50;Met;41.7;85;36.10313797;-79.46486664;36.10313797, -79.46486664
R Homer Andrews Elementary;Alamance-Burlington Schools;D - 42;D;42;NotMet;37.4;95;36.09441376;-79.38269043;36.09441376, -79.38269043
South Graham Elementary;Alamance-Burlington Schools;D - 45;D;45;Met;36.2;82;36.05249405;-79.39332581;36.05249405, -79.39332581
River Mill Academy;Charter Schools;B - 72;B;72;Met;68.6;24;36.04377747;-79.39378357;36.04377747, -79.39378357
Clover Garden;Charter Schools;B - 71;B;71;Met;65.7;33;36.18719864;-79.46985626;36.18719864, -79.46985626
The Hawbridge School;Charter Schools;B - 81;B;81;Met;80.5;2;35.94662476;-79.31838226;35.94662476, -79.31838226
Sugar Loaf Elementary;Alexander County Schools;B - 74;B;74;Met;71.6;52;35.92245102;-81.22122192;35.92245102, -81.22122192
Taylorsville Elementary;Alexander County Schools;C - 57;C;57;NotMet;56.8;78;35.92026852;-81.18232436;35.92026852, -81.18232436
Alleghany High;Alleghany County Schools;B - 71;B;71;Met;59.2;34;36.51379013;-81.12286377;36.51379013, -81.12286377
Glade Creek Elementary;Alleghany County Schools;B - 70;B;70;Met;66.4;77;36.500827;-80.979217;36.500827, -80.979217
Ansonville Elementary;Anson County Schools;B - 70;B;70;Exceeded;65.2;66;35.10540771;-80.105896;35.10540771, -80.105896
Lilesville Elementary;Anson County Schools;D - 43;D;43;Met;34.4;77;34.96478654;-79.989774;34.96478654, -79.989774
Morven Elementary;Anson County Schools;D - 45;D;45;Met;35.1;93;34.88082123;-80.00518799;34.88082123, -80.00518799
Wadesboro Elementary;Anson County Schools;F - 36;F;36;Met;26.3;92;34.96192932;-80.07920074;34.96192932, -80.07920074
Blue Ridge Elementary;Ashe County Schools;C - 65;C;65;Exceeded;58.3;71;36.46002486;-81.53259337;36.46002486, -81.53259337
Mountain View Elementary;Ashe County Schools;B - 72;B;72;Exceeded;67.1;68;36.4351923;-81.43984728;36.4351923, -81.43984728
Mountain View Elementary;Catawba County Schools;B - 74;B;74;Exceeded;70.1;43;36.4351923;-81.43984728;36.4351923, -81.43984728
Mountain View Elementary;Wilkes County Schools;C - 66;C;66;Exceeded;61.5;53;36.4351923;-81.43984728;36.4351923, -81.43984728
Westwood Elementary;Ashe County Schools;B - 72;B;72;Met;69.1;60;36.42065811;-81.47225952;36.42065811, -81.47225952
Avery County High;Avery County Schools;B - 70;B;70;NotMet;51.2;54;36.06900406;-81.91894531;36.06900406, -81.91894531
Crossnore Elementary;Avery County Schools;B - 83;B;83;Exceeded;80.4;52;36.02575645;-81.92405909;36.02575645, -81.92405909
Avery Middle;Avery County Schools;C - 64;C;64;Exceeded;58.0;62;36.06703568;-81.91600037;36.06703568, -81.91600037
Avery High STEM Academy;Avery County Schools;B - 80;B;80;NotMet;78.8;40;36.06900406;-81.91894531;36.06900406, -81.91894531
Northeast Elementary;Beaufort County Schools;C - 56;C;56;Exceeded;48.8;73;35.53974889;-76.70980588;35.53974889, -76.70980588
Colerain Elementary;Bertie County Schools;D - 44;D;44;Met;37.4;98;36.20085038;-76.77103333;36.20085038, -76.77103333
Heritage Collegiate Leadership Academy;Charter Schools;F - 38;F;38;NotMet;31.0;88;35.97985715;-76.95423961;35.97985715, -76.95423961
Bladenboro Primary;Bladen County Schools;C - 60;C;60;Met;57.5;68;34.6120546;-78.98581445;34.6120546, -78.98581445
Clarkton School of Discovery;Bladen County Schools;C - 58;C;58;NotMet;57.0;38;34.49414738;-78.65235284;34.49414738, -78.65235284
Brunswick County Academy;Brunswick County Schools;NA - NA;N;;NA;10.3;100;34.03822708;-78.2385025;34.03822708, -78.2385025
Lincoln Elementary;Rockingham County Schools;C - 58;C;58;Exceeded;50.6;64;34.2612381;-78.04167175;34.2612381, -78.04167175
Southport Elementary;Brunswick County Schools;C - 58;C;58;NotMet;57.6;90;33.92516708;-78.03154755;33.92516708, -78.03154755
Supply Elementary;Brunswick County Schools;D - 47;D;47;NotMet;44.3;100;34.024391;-78.258865;34.024391, -78.258865
Town Creek Elementary;Brunswick County Schools;C - 55;C;55;NotMet;53.2;95;34.139652;-78.08702;34.139652, -78.08702
Union Elementary;Brunswick County Schools;B - 75;B;75;Exceeded;71.8;99;33.95793533;-78.45925903;33.95793533, -78.45925903
Union Elementary;Cleveland County Schools;C - 62;C;62;Met;56.5;72;33.95793533;-78.45925903;33.95793533, -78.45925903
Union Elementary;Lincoln County Schools;B - 79;B;79;Exceeded;76.5;51;33.95793533;-78.45925903;33.95793533, -78.45925903
Charter Day School;Charter Schools;B - 70;B;70;NotMet;71.3;36;34.28311788;-78.13701734;34.28311788, -78.13701734
South Brunswick Charter School;Charter Schools;I - NA;I;;NA;;50;33.92913818;-78.06934357;33.92913818, -78.06934357
Community High School;Buncombe County Schools;NA - NA;N;;NA;14.3;87;35.60304642;-82.40444183;35.60304642, -82.40444183
Erwin Middle;Buncombe County Schools;D - 52;D;52;NotMet;49.1;70;35.61897464;-82.62239434;35.61897464, -82.62239434
Erwin Middle;Rowan-Salisbury Schools;D - 42;D;42;NotMet;39.9;51;35.61897464;-82.62239434;35.61897464, -82.62239434
Emma Elementary;Buncombe County Schools;D - 51;D;51;Exceeded;42.3;87;35.59765309;-82.59433039;35.59765309, -82.59433039
Enka High;Buncombe County Schools;C - 63;C;63;NotMet;53.7;52;35.530158;-82.664733;35.530158, -82.664733
Fairview Elementary;Jackson County Schools;C - 66;C;66;Exceeded;60.9;59;35.52311707;-82.41090393;35.52311707, -82.41090393
Glen Arden Elementary;Buncombe County Schools;B - 76;B;76;Met;76.3;34;35.469615;-82.496658;35.469615, -82.496658
North Windy Ridge Intermediate;Buncombe County Schools;C - 67;C;67;Met;63.2;54;35.72555161;-82.5484848;35.72555161, -82.5484848
Williams Elementary;Buncombe County Schools;C - 66;C;66;Met;63.0;73;35.60456467;-82.40236664;35.60456467, -82.40236664
Nesbitt Discovery Academy;Buncombe County Schools;A - 94;A;94;Met;;28;35.606815;-82.583694;35.606815, -82.583694
Hall Fletcher Elementary;Asheville City Schools;D - 51;D;51;NotMet;46.0;78;35.574066;-82.574485;35.574066, -82.574485
Isaac Dickson Elementary;Asheville City Schools;B - 75;B;75;Met;73.4;41;35.597965;-82.561752;35.597965, -82.561752
Asheville Middle;Asheville City Schools;C - 62;C;62;NotMet;62.7;52;35.58636475;-82.56187439;35.58636475, -82.56187439
Vance Elementary;Wake County Schools;C - 60;C;60;NotMet;58.8;42;35.576999;-82.600631;35.576999, -82.600631
Evergreen Community Charter;Charter Schools;B - 71;B;71;NotMet;72.4;39;35.603225;-82.498535;35.603225, -82.498535
The Franklin School of Innovation;Charter Schools;C - 69;C;69;NotMet;69.1;33;35.55392075;-82.6181488;35.55392075, -82.6181488
Chesterfield Elementary;Burke County Schools;C - 57;C;57;Met;52.9;88;35.81056213;-81.66420746;35.81056213, -81.66420746
Hallyburton Academy;Burke County Schools;NA - NA;N;;NA;19.2;89;35.75600052;-81.60431671;35.75600052, -81.60431671
Forest Hill Elementary;Burke County Schools;C - 68;C;68;Met;64.8;65;35.73225021;-81.70258331;35.73225021, -81.70258331
George Hildebrand Elementary;Burke County Schools;C - 63;C;63;Met;58.3;70;35.66469574;-81.53216553;35.66469574, -81.53216553
Glen Alpine Elementary;Burke County Schools;B - 70;B;70;Met;67.0;73;35.72393036;-81.77876282;35.72393036, -81.77876282
Icard Elementary;Burke County Schools;C - 69;C;69;Exceeded;63.6;70;35.73029327;-81.46838379;35.73029327, -81.46838379
North Liberty;Burke County Schools;NA - NA;N;;NA;48.0;69;35.70956692;-81.67176984;35.70956692, -81.67176984
Oak Hill Elementary;Burke County Schools;C - 65;C;65;Exceeded;58.2;59;35.77602386;-81.75662231;35.77602386, -81.75662231
Oak Hill Elementary;Caldwell County Schools;D - 52;D;52;Met;45.7;57;35.77602386;-81.75662231;35.77602386, -81.75662231
Ray Childers Elementary;Burke County Schools;B - 76;B;76;Met;73.9;73;35.75047302;-81.42862701;35.75047302, -81.42862701
Robert L. Patton High School;Burke County Schools;B - 73;B;73;Met;56.2;48;35.70165634;-81.66938782;35.70165634, -81.66938782
Salem Elementary;Burke County Schools;B - 72;B;72;Met;69.1;57;35.694507;-81.701759;35.694507, -81.701759
Valdese Elementary;Burke County Schools;B - 72;B;72;Met;70.0;56;35.74227378;-81.56616054;35.74227378, -81.56616054
Beverly Hills Elementary;Cabarrus County Schools;C - 64;C;64;Met;59.3;68;35.432094;-80.596313;35.432094, -80.596313
Harrisburg Elementary;Cabarrus County Schools;B - 78;B;78;Met;79.3;12;35.318855;-80.64067;35.318855, -80.64067
Cabarrus Co Opportunity School;Cabarrus County Schools;NA - NA;N;;NA;;73;35.41202164;-80.59011841;35.41202164, -80.59011841
Mount Pleasant Elementary;Cabarrus County Schools;C - 69;C;69;Exceeded;63.6;40;35.91701126;-79.07080841;35.91701126, -79.07080841
Mount Pleasant Elementary;Wilkes County Schools;C - 60;C;60;NotMet;58.2;45;35.91701126;-79.07080841;35.91701126, -79.07080841
Mount Pleasant Middle;Cabarrus County Schools;C - 68;C;68;Exceeded;62.1;43;35.411983;-80.437377;35.411983, -80.437377
Mount Pleasant High;Cabarrus County Schools;C - 68;C;68;Met;56.8;38;35.40673065;-80.48416901;35.40673065, -80.48416901
